region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state
huntsville / decatur,0.0,2015,jeep,cherokee,excellent,6 cylinders,gas,160328.0,clean,automatic,fwd,SUV,red,al
huntsville / decatur,0.0,2017,lincoln,mkz,excellent,6 cylinders,gas,97043.0,clean,automatic,fwd,sedan,black,al
huntsville / decatur,0.0,2016,nissan,murano,excellent,6 cylinders,gas,124543.0,clean,automatic,4wd,wagon,black,al
huntsville / decatur,0.0,2009,toyota,venza,good,6 cylinders,gas,171990.0,clean,automatic,fwd,wagon,white,al
mobile,0.0,2014,ford,Freightliner Cascadia,excellent,6 cylinders,diesel,1000.0,clean,automatic,4wd,sedan,white,al
mobile,0.0,2014,cadillac,srx,excellent,6 cylinders,gas,71419.0,salvage,automatic,fwd,SUV,blue,al
mobile,0.0,2012,toyota,rav4,excellent,4 cylinders,gas,33000.0,clean,automatic,4wd,SUV,black,al
mobile,0.0,2012,dodge,charger rt,excellent,8 cylinders,gas,75000.0,clean,automatic,4wd,sedan,black,al
mobile,0.0,2012,jeep,liberty sport,excellent,6 cylinders,gas,52352.0,clean,automatic,4wd,sedan,white,al
mobile,0.0,2014,chevrolet,malibu,excellent,6 cylinders,gas,42000.0,clean,automatic,4wd,sedan,silver,al
mobile,0.0,1992,toyota,land cruiser prado,excellent,4 cylinders,diesel,160000.0,clean,automatic,4wd,SUV,black,al
mobile,0.0,2018,ford,peterbilt 579,excellent,6 cylinders,diesel,1.0,clean,automatic,4wd,sedan,white,al
montgomery,0.0,2015,dodge,i,excellent,6 cylinders,diesel,0.0,clean,other,4wd,other,white,al
montgomery,0.0,2014,ram,f-150,excellent,6 cylinders,diesel,0.0,clean,automatic,4wd,other,white,al
montgomery,0.0,1992,toyota,land cruiser prado,excellent,4 cylinders,diesel,160000.0,clean,automatic,4wd,SUV,black,al
montgomery,0.0,2018,ford,peterbilt 579,excellent,6 cylinders,diesel,1.0,clean,automatic,4wd,sedan,white,al
anchorage / mat-su,1.0,2010,chevrolet,traverse lt awd,excellent,6 cylinders,gas,120000.0,parts only,automatic,4wd,SUV,red,ak
anchorage / mat-su,0.0,2021,chevrolet,traverse,new,6 cylinders,gas,19.0,clean,automatic,fwd,SUV,black,ak
anchorage / mat-su,0.0,2003,subaru,forester awd,excellent,6 cylinders,gas,71716.0,clean,automatic,4wd,sedan,white,ak
anchorage / mat-su,0.0,1994,dodge,viper rt/10,excellent,6 cylinders,gas,20296.0,clean,manual,4wd,sedan,white,ak
anchorage / mat-su,0.0,2008,ford,f450 super duty crew cab,excellent,8 cylinders,diesel,123249.0,clean,automatic,4wd,pickup,white,ak
anchorage / mat-su,0.0,2015,ram,1500 quad cab,excellent,8 cylinders,gas,83000.0,clean,automatic,4wd,pickup,custom,ak
anchorage / mat-su,0.0,2013,ford,f150 supercrew cab,excellent,6 cylinders,gas,167361.0,clean,automatic,4wd,pickup,custom,ak
anchorage / mat-su,0.0,2017,dodge,charger,excellent,6 cylinders,gas,50162.0,clean,automatic,4wd,sedan,white,ak
anchorage / mat-su,1.0,2001,jeep,grand cherokee,excellent,6 cylinders,gas,180000.0,clean,automatic,4wd,sedan,white,ak
anchorage / mat-su,0.0,2013,chevrolet,silverado 3500 hd crew cab,excellent,8 cylinders,diesel,140070.0,clean,automatic,4wd,pickup,custom,ak
anchorage / mat-su,0.0,2009,ram,1500 crew cab,excellent,8 cylinders,gas,153866.0,clean,automatic,4wd,pickup,blue,ak
anchorage / mat-su,0.0,2014,gmc,sierra 1500 crew cab,excellent,6 cylinders,other,138201.0,clean,automatic,4wd,pickup,white,ak
anchorage / mat-su,0.0,2013,chevrolet,silverado 1500 regular cab,excellent,6 cylinders,gas,161965.0,clean,automatic,4wd,pickup,white,ak
anchorage / mat-su,0.0,2014,kia,rio,excellent,4 cylinders,gas,70375.0,clean,automatic,4wd,sedan,red,ak
anchorage / mat-su,1.0,1995,ford,f-350,excellent,6 cylinders,gas,130000.0,clean,manual,4wd,sedan,white,ak
anchorage / mat-su,0.0,2012,chevrolet,malibu,excellent,4 cylinders,gas,107900.0,clean,automatic,fwd,sedan,silver,ak
anchorage / mat-su,0.0,2018,ford,f-150,excellent,6 cylinders,gas,33649.0,clean,automatic,rwd,truck,white,ak
anchorage / mat-su,0.0,2014,ram,1500 crew cab,excellent,8 cylinders,gas,124636.0,clean,automatic,4wd,pickup,silver,ak
anchorage / mat-su,1.0,1997,ford,Fisher/Daniels,good,6 cylinders,other,97.0,clean,other,4wd,other,yellow,ak
anchorage / mat-su,1.0,2020,ford,international,excellent,6 cylinders,gas,1000.0,clean,other,4wd,sedan,white,ak
anchorage / mat-su,0.0,2018,chevrolet,malibu,excellent,4 cylinders,gas,27600.0,clean,automatic,fwd,sedan,custom,ak
anchorage / mat-su,0.0,2014,ram,1500 crew cab,excellent,8 cylinders,gas,151894.0,clean,automatic,4wd,pickup,white,ak
anchorage / mat-su,1.0,2014,dodge,charger,excellent,6 cylinders,gas,92000.0,clean,automatic,4wd,sedan,white,ak
anchorage / mat-su,0.0,2018,subaru,legacy,excellent,4 cylinders,gas,22687.0,clean,automatic,4wd,sedan,blue,ak
anchorage / mat-su,0.0,2004,chevrolet,trailblazer,excellent,6 cylinders,gas,101795.0,clean,automatic,4wd,SUV,white,ak
anchorage / mat-su,0.0,2019,ford,f-350 super duty lariat li,excellent,8 cylinders,diesel,51450.0,clean,automatic,4wd,truck,white,ak
anchorage / mat-su,0.0,2019,ford,f-250 super duty lariat li,excellent,8 cylinders,diesel,34613.0,clean,automatic,4wd,truck,white,ak
anchorage / mat-su,0.0,2014,ford,escape,excellent,4 cylinders,gas,66592.0,clean,automatic,4wd,SUV,blue,ak
anchorage / mat-su,0.0,2006,ram,3500,excellent,6 cylinders,diesel,84891.0,clean,manual,4wd,truck,white,ak
fairbanks,0.0,1994,dodge,viper rt/10,excellent,6 cylinders,gas,20296.0,clean,manual,4wd,sedan,white,ak
fairbanks,0.0,2008,ford,f450 super duty crew cab,excellent,8 cylinders,diesel,123249.0,clean,automatic,4wd,pickup,white,ak
fairbanks,0.0,2002,ford,explorer,excellent,6 cylinders,gas,16093.0,clean,manual,4wd,SUV,custom,ak
fairbanks,0.0,2012,chevrolet,malibu,excellent,4 cylinders,gas,107900.0,clean,automatic,fwd,sedan,silver,ak
fairbanks,0.0,2013,chevrolet,silverado 3500 hd crew cab,excellent,8 cylinders,diesel,140070.0,clean,automatic,4wd,pickup,custom,ak
fairbanks,1.0,2014,chevrolet,silverado,excellent,6 cylinders,gas,98000.0,clean,automatic,4wd,sedan,white,ak
fairbanks,1.0,2014,dodge,charger,excellent,6 cylinders,gas,85000.0,clean,automatic,4wd,sedan,white,ak
fairbanks,0.0,2014,ford,escape,excellent,4 cylinders,gas,66592.0,clean,automatic,4wd,SUV,blue,ak
fairbanks,0.0,2004,chevrolet,trailblazer,excellent,6 cylinders,gas,101795.0,clean,automatic,4wd,SUV,white,ak
kenai peninsula,0.0,2018,ford,f-150,excellent,6 cylinders,gas,33649.0,clean,automatic,rwd,truck,white,ak
southeast alaska,1.0,1988,ford,f350 dually,good,6 cylinders,diesel,130000.0,clean,automatic,4wd,truck,red,ak
flagstaff / sedona,0.0,2013,ford,f150 supercrew 4x4,excellent,6 cylinders,gas,117531.0,clean,automatic,4wd,truck,white,az
flagstaff / sedona,1.0,1955,ford,f-100,fair,6 cylinders,gas,70000.0,clean,manual,rwd,truck,blue,az
flagstaff / sedona,0.0,2011,hyundai,sonata,like new,6 cylinders,gas,102000.0,clean,automatic,4wd,sedan,white,az
flagstaff / sedona,0.0,2016,audi,"a6 3.0 quattro tdi premium plus 68k msrp* driver assistance pkg* s-line sports pkg* led headlights* 20""wheels*bose surround sound*cold weather pkg* new tires*tinted windows* ceramic coated*immaculate*tdi",excellent,6 cylinders,diesel,65221.0,clean,automatic,4wd,sedan,black,az
mohave county,0.0,2012,jeep,liberty,excellent,6 cylinders,gas,88760.0,clean,automatic,rwd,SUV,red,az
mohave county,0.0,2017,ford,escape,excellent,4 cylinders,gas,49786.0,clean,automatic,fwd,SUV,white,az
mohave county,0.0,2017,ford,F-150,excellent,6 cylinders,gas,45484.0,clean,automatic,4wd,pickup,white,az
mohave county,0.0,2016,ford,escape,excellent,4 cylinders,gas,56964.0,clean,automatic,fwd,SUV,white,az
mohave county,0.0,2017,chevrolet,silverado 1500,excellent,8 cylinders,gas,34105.0,clean,automatic,rwd,pickup,red,az
mohave county,1.0,1974,volkswagen,cab,excellent,6 cylinders,gas,1.0,clean,automatic,4wd,sedan,white,az
mohave county,0.0,2015,dodge,intern,excellent,6 cylinders,diesel,0.0,clean,other,4wd,other,white,az
mohave county,0.0,2016,audi,"a6 3.0 quattro tdi premium plus 68k msrp* driver assistance pkg* s-line sports pkg* led headlights* 20""wheels*bose surround sound*cold weather pkg* new tires*tinted windows* ceramic coated*immaculate*tdi",excellent,6 cylinders,diesel,65221.0,clean,automatic,4wd,sedan,black,az
mohave county,0.0,1954,ford,Austin Healey,excellent,4 cylinders,gas,49800.0,clean,manual,rwd,sedan,red,az
mohave county,0.0,2018,ford,edge,excellent,6 cylinders,gas,23161.0,clean,automatic,fwd,sedan,white,az
phoenix,0.0,2021,toyota,corolla hatchback,excellent,6 cylinders,gas,15.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2016,ford,f-250 super duty 4wd crew c,excellent,8 cylinders,other,100196.0,clean,other,4wd,other,white,az
phoenix,0.0,2015,bmw,5-series,excellent,6 cylinders,gas,50917.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2019,toyota,rav4,excellent,6 cylinders,gas,33591.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2013,ford,f-250,excellent,8 cylinders,diesel,110339.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2018,toyota,tundra limited crewmax 5.,excellent,8 cylinders,other,52320.0,clean,other,4wd,other,white,az
phoenix,0.0,2018,ford,f-150 xlt 4wd supercrew 5.5,excellent,6 cylinders,other,30638.0,clean,other,4wd,other,white,az
phoenix,0.0,2019,toyota,camry,excellent,6 cylinders,gas,29205.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2021,toyota,camry,excellent,6 cylinders,gas,15.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2006,nissan,maxima,excellent,6 cylinders,gas,144586.0,clean,automatic,fwd,sedan,white,az
phoenix,0.0,2015,chevrolet,silverado 1500 4wd cre,excellent,8 cylinders,other,60362.0,clean,other,4wd,other,white,az
phoenix,0.0,2016,ford,f-150,excellent,6 cylinders,gas,1.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2020,toyota,tundra,excellent,6 cylinders,gas,25794.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2014,honda,accord,excellent,6 cylinders,gas,53282.0,clean,automatic,4wd,sedan,white,az
phoenix,1.0,2013,dodge,avenger,excellent,6 cylinders,gas,82000.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2011,toyota,camry,excellent,6 cylinders,other,77768.0,clean,automatic,fwd,sedan,white,az
phoenix,0.0,2018,toyota,prius prime,excellent,6 cylinders,gas,52416.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2015,ford,f-150 4wd supercrew 145 pla,excellent,6 cylinders,other,90009.0,clean,automatic,4wd,other,white,az
phoenix,0.0,2021,toyota,highlander hybrid,excellent,6 cylinders,gas,10.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2018,toyota,prius,excellent,6 cylinders,gas,24996.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2017,chevrolet,silverado 1500 4wd dou,excellent,8 cylinders,other,53777.0,clean,other,4wd,other,white,az
phoenix,0.0,2018,ford,f-150 limited 4wd supercrew,excellent,6 cylinders,other,18544.0,clean,other,4wd,other,white,az
phoenix,0.0,2018,honda,hr-v,excellent,6 cylinders,gas,37208.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2021,toyota,tacoma,excellent,6 cylinders,gas,11.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2018,toyota,tacoma,excellent,6 cylinders,gas,44859.0,clean,automatic,4wd,sedan,white,az
phoenix,0.0,2020,toyota,yaris,excellent,6 cylinders,gas,33936.0,clean,automatic,4wd,sedan,white,az
